id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;2024-01-14;12259.44625000
SE;Sudeste/Centro-Oeste;2024-01-14;39828.23358333
N;Norte;2024-01-15;7141.93862500
NE;Nordeste;2024-01-15;13194.50633333
S;Sul;2024-01-15;15929.24416667
SE;Sudeste/Centro-Oeste;2024-01-15;47654.45770833
N;Norte;2024-01-16;7395.84200000
NE;Nordeste;2024-01-16;13475.43412500
S;Sul;2024-01-16;16750.95583333
SE;Sudeste/Centro-Oeste;2024-01-16;50529.63791667
N;Norte;2024-01-17;7491.49095833
NE;Nordeste;2024-01-17;13518.59287500
S;Sul;2024-01-17;15124.07983333
SE;Sudeste/Centro-Oeste;2024-01-17;52372.05279167
N;Norte;2024-01-18;7632.63070833
NE;Nordeste;2024-01-18;13819.75150000
S;Sul;2024-01-18;15210.24862500
SE;Sudeste/Centro-Oeste;2024-01-18;52148.09675000
N;Norte;2024-01-19;7646.45195833
NE;Nordeste;2024-01-19;14004.02408333
S;Sul;2024-01-19;15729.93145833
SE;Sudeste/Centro-Oeste;2024-01-19;50865.76783333
N;Norte;2024-01-20;7480.74970833
NE;Nordeste;2024-01-20;13331.42579167
S;Sul;2024-01-20;13397.92066667
SE;Sudeste/Centro-Oeste;2024-01-20;46177.41875000
N;Norte;2024-01-21;7167.19075000
NE;Nordeste;2024-01-21;12633.48145833
S;Sul;2024-01-21;11189.19004167
SE;Sudeste/Centro-Oeste;2024-01-21;41566.55754167
N;Norte;2024-01-22;7761.66029167
NE;Nordeste;2024-01-22;13863.35375000
S;Sul;2024-01-22;13890.41725000
SE;Sudeste/Centro-Oeste;2024-01-22;46605.74795833
N;Norte;2024-01-23;7699.55041667
NE;Nordeste;2024-01-23;13774.12362500
S;Sul;2024-01-23;13685.83679167
SE;Sudeste/Centro-Oeste;2024-01-23;45079.24766667
N;Norte;2024-01-24;7711.86191667
NE;Nordeste;2024-01-24;13683.66466667
S;Sul;2024-01-24;13615.23191667
SE;Sudeste/Centro-Oeste;2024-01-24;43284.57195833
N;Norte;2024-01-25;7650.75745833
NE;Nordeste;2024-01-25;13468.11200000
S;Sul;2024-01-25;13522.85150000
SE;Sudeste/Centro-Oeste;2024-01-25;43757.73995833
N;Norte;2024-01-26;7429.98533333
NE;Nordeste;2024-01-26;13241.90825000
S;Sul;2024-01-26;13542.64075000
SE;Sudeste/Centro-Oeste;2024-01-26;43791.18370833
N;Norte;2024-01-27;7104.57150000
NE;Nordeste;2024-01-27;12531.60516667
S;Sul;2024-01-27;12044.58387500
SE;Sudeste/Centro-Oeste;2024-01-27;41296.46770833
N;Norte;2024-01-28;6890.67525000
NE;Nordeste;2024-01-28;11874.03837500
S;Sul;2024-01-28;10774.57245833
SE;Sudeste/Centro-Oeste;2024-01-28;38599.28908333
N;Norte;2024-01-29;7419.34312500
NE;Nordeste;2024-01-29;13200.71308333
S;Sul;2024-01-29;13961.61750000
SE;Sudeste/Centro-Oeste;2024-01-29;45468.98858333
N;Norte;2024-01-30;7580.88179167
NE;Nordeste;2024-01-30;13476.21433333
S;Sul;2024-01-30;15170.66333333
SE;Sudeste/Centro-Oeste;2024-01-30;48471.38341667
N;Norte;2024-01-31;7701.11487500
NE;Nordeste;2024-01-31;13514.50245833
S;Sul;2024-01-31;15746.21908333
SE;Sudeste/Centro-Oeste;2024-01-31;48499.53533333
N;Norte;2024-02-01;7495.90470833
NE;Nordeste;2024-02-01;13471.78633333
S;Sul;2024-02-01;16537.46783333
SE;Sudeste/Centro-Oeste;2024-02-01;46332.35483333
N;Norte;2024-02-02;7230.81375000
NE;Nordeste;2024-02-02;13569.51729167
S;Sul;2024-02-02;16187.34916667
SE;Sudeste/Centro-Oeste;2024-02-02;46179.21675000
N;Norte;2024-02-03;7089.44795833
NE;Nordeste;2024-02-03;12688.24270833
S;Sul;2024-02-03;14604.34329167
SE;Sudeste/Centro-Oeste;2024-02-03;43072.39500000
N;Norte;2024-02-04;7061.08316667
NE;Nordeste;2024-02-04;12327.98645833
S;Sul;2024-02-04;13850.24912500
SE;Sudeste/Centro-Oeste;2024-02-04;39828.76712500
N;Norte;2024-02-05;7606.80395833
NE;Nordeste;2024-02-05;13811.29895833
S;Sul;2024-02-05;17197.22233333
SE;Sudeste/Centro-Oeste;2024-02-05;46477.00487500
N;Norte;2024-02-06;7545.18950000
NE;Nordeste;2024-02-06;14042.06320833
S;Sul;2024-02-06;17854.34937500
SE;Sudeste/Centro-Oeste;2024-02-06;48579.47416667
N;Norte;2024-02-07;7736.96050000
NE;Nordeste;2024-02-07;14169.58329167
S;Sul;2024-02-07;18150.09150000
SE;Sudeste/Centro-Oeste;2024-02-07;49350.12654167
N;Norte;2024-02-08;7816.83895833
NE;Nordeste;2024-02-08;14570.94629167
S;Sul;2024-02-08;17873.15270833
SE;Sudeste/Centro-Oeste;2024-02-08;49188.91533333
N;Norte;2024-02-09;7649.52250000
NE;Nordeste;2024-02-09;14036.06108333
S;Sul;2024-02-09;18150.92829167
SE;Sudeste/Centro-Oeste;2024-02-09;49189.53558333
N;Norte;2024-02-10;7132.89829167
NE;Nordeste;2024-02-10;12497.59729167
S;Sul;2024-02-10;15712.07791667
SE;Sudeste/Centro-Oeste;2024-02-10;45133.99816667
N;Norte;2024-02-11;6654.22679167
NE;Nordeste;2024-02-11;11640.84541667
S;Sul;2024-02-11;14433.46154167
SE;Sudeste/Centro-Oeste;2024-02-11;41647.76475000
N;Norte;2024-02-12;6940.73933333
NE;Nordeste;2024-02-12;11859.61062500
S;Sul;2024-02-12;17158.31254167
SE;Sudeste/Centro-Oeste;2024-02-12;45474.98929167
N;Norte;2024-02-13;6643.53941667
NE;Nordeste;2024-02-13;12269.12620833
S;Sul;2024-02-13;16380.45650000
SE;Sudeste/Centro-Oeste;2024-02-13;46484.37287500
N;Norte;2024-02-14;7066.49008333
NE;Nordeste;2024-02-14;13072.72645833
S;Sul;2024-02-14;15315.44550000
SE;Sudeste/Centro-Oeste;2024-02-14;49026.45725000
N;Norte;2024-02-15;7513.87687500
NE;Nordeste;2024-02-15;13941.57279167
S;Sul;2024-02-15;15022.87308333
SE;Sudeste/Centro-Oeste;2024-02-15;47618.74120833
N;Norte;2024-02-16;7619.67050000
NE;Nordeste;2024-02-16;13724.32645833
S;Sul;2024-02-16;14682.94341667
SE;Sudeste/Centro-Oeste;2024-02-16;46363.42104167
N;Norte;2024-02-17;7329.05704167
NE;Nordeste;2024-02-17;13166.55529167
S;Sul;2024-02-17;13049.96162500
SE;Sudeste/Centro-Oeste;2024-02-17;43541.97558333
N;Norte;2024-02-18;6928.51645833
NE;Nordeste;2024-02-18;12482.67929167
S;Sul;2024-02-18;12063.17033333
SE;Sudeste/Centro-Oeste;2024-02-18;40370.63941667
N;Norte;2024-02-19;7480.36570833
NE;Nordeste;2024-02-19;13567.82008333
S;Sul;2024-02-19;15518.01179167
SE;Sudeste/Centro-Oeste;2024-02-19;46299.72083333
N;Norte;2024-02-20;7550.65491667
NE;Nordeste;2024-02-20;13881.06175000
S;Sul;2024-02-20;15137.55820833
SE;Sudeste/Centro-Oeste;2024-02-20;46384.98250000
N;Norte;2024-02-21;7638.32587500
NE;Nordeste;2024-02-21;13421.94766667
S;Sul;2024-02-21;15196.14379167
SE;Sudeste/Centro-Oeste;2024-02-21;45977.23991667
N;Norte;2024-02-22;7454.13900000
NE;Nordeste;2024-02-22;13354.70362500
S;Sul;2024-02-22;15701.44587500
SE;Sudeste/Centro-Oeste;2024-02-22;46874.83550000
N;Norte;2024-02-23;7446.36070833
NE;Nordeste;2024-02-23;13158.94712500
S;Sul;2024-02-23;16726.62220833
SE;Sudeste/Centro-Oeste;2024-02-23;48170.17520833
N;Norte;2024-02-24;7188.98308333
NE;Nordeste;2024-02-24;12389.11850000
S;Sul;2024-02-24;14942.71820833
SE;Sudeste/Centro-Oeste;2024-02-24;45402.46233333
N;Norte;2024-02-25;6829.40266667
NE;Nordeste;2024-02-25;11813.21270833
S;Sul;2024-02-25;12985.16179167
SE;Sudeste/Centro-Oeste;2024-02-25;42623.28820833
N;Norte;2024-02-26;7169.10295833
NE;Nordeste;2024-02-26;13024.76204167
S;Sul;2024-02-26;15571.84379167
SE;Sudeste/Centro-Oeste;2024-02-26;49635.51445833
N;Norte;2024-02-27;7305.86445833
NE;Nordeste;2024-02-27;13327.03104167
S;Sul;2024-02-27;15859.42937500
SE;Sudeste/Centro-Oeste;2024-02-27;51042.54391667
N;Norte;2024-02-28;7365.14058333
NE;Nordeste;2024-02-28;13601.08425000
S;Sul;2024-02-28;16232.65866667
SE;Sudeste/Centro-Oeste;2024-02-28;52291.22429167
N;Norte;2024-02-29;7531.22295833
NE;Nordeste;2024-02-29;13668.13029167
S;Sul;2024-02-29;16227.14612500
SE;Sudeste/Centro-Oeste;2024-02-29;52773.42141667
N;Norte;2024-03-01;7642.50725000
NE;Nordeste;2024-03-01;14116.10845833
S;Sul;2024-03-01;16015.77733333
SE;Sudeste/Centro-Oeste;2024-03-01;51747.40895833
N;Norte;2024-03-02;7175.49883333
NE;Nordeste;2024-03-02;13371.00766667
S;Sul;2024-03-02;14249.04341667
SE;Sudeste/Centro-Oeste;2024-03-02;45993.24491667
N;Norte;2024-03-03;6827.86800000
NE;Nordeste;2024-03-03;12329.47516667
S;Sul;2024-03-03;13023.61016667
SE;Sudeste/Centro-Oeste;2024-03-03;42559.98012500
N;Norte;2024-03-04;7445.21058333
NE;Nordeste;2024-03-04;13636.42237500
S;Sul;2024-03-04;15596.39804167
SE;Sudeste/Centro-Oeste;2024-03-04;49577.12287500
N;Norte;2024-03-05;7528.88887500
NE;Nordeste;2024-03-05;13554.88050000
S;Sul;2024-03-05;14557.17341667
SE;Sudeste/Centro-Oeste;2024-03-05;50691.47954167
N;Norte;2024-03-06;7728.09887500
NE;Nordeste;2024-03-06;13251.96387500
S;Sul;2024-03-06;14551.97008333
SE;Sudeste/Centro-Oeste;2024-03-06;49464.91445833
N;Norte;2024-03-07;7675.90762500
NE;Nordeste;2024-03-07;13338.40041667
S;Sul;2024-03-07;15046.26041667
SE;Sudeste/Centro-Oeste;2024-03-07;49358.57066667
N;Norte;2024-03-08;7590.40525000
NE;Nordeste;2024-03-08;13428.67350000
S;Sul;2024-03-08;15095.88116667
SE;Sudeste/Centro-Oeste;2024-03-08;49775.20375000
N;Norte;2024-03-09;7325.53325000
NE;Nordeste;2024-03-09;12988.39779167
S;Sul;2024-03-09;13057.38112500
SE;Sudeste/Centro-Oeste;2024-03-09;46587.56787500
N;Norte;2024-03-10;7158.46550000
NE;Nordeste;2024-03-10;12407.53704167
S;Sul;2024-03-10;11836.18370833
SE;Sudeste/Centro-Oeste;2024-03-10;43117.00454167
N;Norte;2024-03-11;7707.48550000
NE;Nordeste;2024-03-11;14099.24254167
S;Sul;2024-03-11;15121.07204167
SE;Sudeste/Centro-Oeste;2024-03-11;48900.86120833
N;Norte;2024-03-12;7916.26750000
NE;Nordeste;2024-03-12;14370.43425000
S;Sul;2024-03-12;15886.10250000
SE;Sudeste/Centro-Oeste;2024-03-12;49386.92804167
N;Norte;2024-03-13;7831.42500000
NE;Nordeste;2024-03-13;14179.17562500
S;Sul;2024-03-13;16660.05325000
SE;Sudeste/Centro-Oeste;2024-03-13;50090.29066667
N;Norte;2024-03-14;7819.92666667
NE;Nordeste;2024-03-14;13912.97341667
S;Sul;2024-03-14;17437.51900000
SE;Sudeste/Centro-Oeste;2024-03-14;51397.81879167
N;Norte;2024-03-15;7677.71745833
NE;Nordeste;2024-03-15;13538.79979167
S;Sul;2024-03-15;17452.36500000
SE;Sudeste/Centro-Oeste;2024-03-15;52690.84345833
N;Norte;2024-03-16;7131.56750000
NE;Nordeste;2024-03-16;13056.25929167
S;Sul;2024-03-16;14942.82937500
SE;Sudeste/Centro-Oeste;2024-03-16;49604.18095833
N;Norte;2024-03-17;6922.52654167
NE;Nordeste;2024-03-17;12511.28879167
S;Sul;2024-03-17;12563.37166667
SE;Sudeste/Centro-Oeste;2024-03-17;46388.94645833
N;Norte;2024-03-18;7417.14350000
NE;Nordeste;2024-03-18;14001.72695833
S;Sul;2024-03-18;15668.88620833
SE;Sudeste/Centro-Oeste;2024-03-18;52684.78775000
N;Norte;2024-03-19;7455.39295833
NE;Nordeste;2024-03-19;13746.05195833
S;Sul;2024-03-19;16591.51637500
SE;Sudeste/Centro-Oeste;2024-03-19;52933.50333333
N;Norte;2024-03-20;7521.59208333
NE;Nordeste;2024-03-20;14184.43950000
S;Sul;2024-03-20;16995.42804167
SE;Sudeste/Centro-Oeste;2024-03-20;52301.59275000
N;Norte;2024-03-21;7406.44370833
NE;Nordeste;2024-03-21;14096.10087500
S;Sul;2024-03-21;15510.21512500
SE;Sudeste/Centro-Oeste;2024-03-21;52295.17358333
N;Norte;2024-03-22;7336.89854167
NE;Nordeste;2024-03-22;14286.25262500
S;Sul;2024-03-22;14062.68783333
SE;Sudeste/Centro-Oeste;2024-03-22;48756.42983333
N;Norte;2024-03-23;7127.44087500
NE;Nordeste;2024-03-23;13257.80870833
S;Sul;2024-03-23;11920.63495833
SE;Sudeste/Centro-Oeste;2024-03-23;41761.76337500
N;Norte;2024-03-24;6706.92958333
NE;Nordeste;2024-03-24;12227.94887500
S;Sul;2024-03-24;10804.50741667
SE;Sudeste/Centro-Oeste;2024-03-24;37607.98262500
N;Norte;2024-03-25;7370.35958333
NE;Nordeste;2024-03-25;13473.91600000
S;Sul;2024-03-25;14373.43020833
SE;Sudeste/Centro-Oeste;2024-03-25;44739.10475000
N;Norte;2024-03-26;7604.13020833
NE;Nordeste;2024-03-26;14079.56845833
S;Sul;2024-03-26;14935.07416667
SE;Sudeste/Centro-Oeste;2024-03-26;45221.26537500
N;Norte;2024-03-27;7692.52179167
NE;Nordeste;2024-03-27;13972.60654167
S;Sul;2024-03-27;14962.74241667
SE;Sudeste/Centro-Oeste;2024-03-27;44327.22191667
N;Norte;2024-03-28;7277.70475000
NE;Nordeste;2024-03-28;13171.08529167
S;Sul;2024-03-28;15399.22920833
SE;Sudeste/Centro-Oeste;2024-03-28;43959.12441667
N;Norte;2024-03-29;6735.12929167
NE;Nordeste;2024-03-29;12091.62666667
S;Sul;2024-03-29;12119.68770833
SE;Sudeste/Centro-Oeste;2024-03-29;39041.09675000
N;Norte;2024-03-30;7061.51012500
NE;Nordeste;2024-03-30;12712.09033333
S;Sul;2024-03-30;12297.96466667
SE;Sudeste/Centro-Oeste;2024-03-30;40654.91216667
N;Norte;2024-03-31;7082.19033333
NE;Nordeste;2024-03-31;12293.93995833
S;Sul;2024-03-31;11871.30975000
SE;Sudeste/Centro-Oeste;2024-03-31;38678.60008333
N;Norte;2024-04-01;7615.02391667
NE;Nordeste;2024-04-01;13886.52316667
S;Sul;2024-04-01;15597.02937500
SE;Sudeste/Centro-Oeste;2024-04-01;45272.88979167
N;Norte;2024-04-02;7601.71604167
NE;Nordeste;2024-04-02;14433.83929167
S;Sul;2024-04-02;15712.90058333
SE;Sudeste/Centro-Oeste;2024-04-02;47154.55912500
N;Norte;2024-04-03;7616.57145833
NE;Nordeste;2024-04-03;14187.35387500
S;Sul;2024-04-03;15744.73129167
SE;Sudeste/Centro-Oeste;2024-04-03;47561.93979167
N;Norte;2024-04-04;7580.68858333
NE;Nordeste;2024-04-04;13855.92625000
S;Sul;2024-04-04;15799.78708333
SE;Sudeste/Centro-Oeste;2024-04-04;48267.06191667
N;Norte;2024-04-05;7381.96433333
NE;Nordeste;2024-04-05;13336.76587500
S;Sul;2024-04-05;15073.37300000
SE;Sudeste/Centro-Oeste;2024-04-05;48347.90562500
N;Norte;2024-04-06;7078.73712500
NE;Nordeste;2024-04-06;12547.83162500
S;Sul;2024-04-06;13070.52025000
SE;Sudeste/Centro-Oeste;2024-04-06;43797.01662500
N;Norte;2024-04-07;6859.68033333
NE;Nordeste;2024-04-07;11876.86950000
S;Sul;2024-04-07;11150.56420833
SE;Sudeste/Centro-Oeste;2024-04-07;40353.46470833
N;Norte;2024-04-08;7557.79983333
NE;Nordeste;2024-04-08;13375.40154167
S;Sul;2024-04-08;14285.81333333
SE;Sudeste/Centro-Oeste;2024-04-08;46739.43895833
N;Norte;2024-04-09;7575.77045833
NE;Nordeste;2024-04-09;13438.24275000
S;Sul;2024-04-09;15013.89670833
SE;Sudeste/Centro-Oeste;2024-04-09;47833.23545833
N;Norte;2024-04-10;7529.79591667
NE;Nordeste;2024-04-10;13678.21808333
S;Sul;2024-04-10;15459.33091667
SE;Sudeste/Centro-Oeste;2024-04-10;47820.40470833
N;Norte;2024-04-11;7766.55004167
NE;Nordeste;2024-04-11;13646.04995833
S;Sul;2024-04-11;14839.73175000
SE;Sudeste/Centro-Oeste;2024-04-11;47922.78679167
N;Norte;2024-04-12;7558.72162500
NE;Nordeste;2024-04-12;13450.19808333
S;Sul;2024-04-12;14287.93662500
SE;Sudeste/Centro-Oeste;2024-04-12;47291.29641667
N;Norte;2024-04-13;7129.31929167
NE;Nordeste;2024-04-13;12657.39162500
S;Sul;2024-04-13;12384.29758333
SE;Sudeste/Centro-Oeste;2024-04-13;43641.44370833
N;Norte;2024-04-14;6735.49654167
NE;Nordeste;2024-04-14;11816.28741667
S;Sul;2024-04-14;10718.40070833
SE;Sudeste/Centro-Oeste;2024-04-14;40164.14075000
N;Norte;2024-04-15;7487.71825000
NE;Nordeste;2024-04-15;13121.61962500
S;Sul;2024-04-15;13578.15429167
SE;Sudeste/Centro-Oeste;2024-04-15;46433.76812500
N;Norte;2024-04-16;7728.05095833
NE;Nordeste;2024-04-16;13235.73912500
S;Sul;2024-04-16;13915.90145833
SE;Sudeste/Centro-Oeste;2024-04-16;48347.28770833
N;Norte;2024-04-17;7712.05504167
NE;Nordeste;2024-04-17;12943.25904167
S;Sul;2024-04-17;12748.35895833
SE;Sudeste/Centro-Oeste;2024-04-17;48400.24283333
N;Norte;2024-04-18;7601.71912500
NE;Nordeste;2024-04-18;13325.50562500
S;Sul;2024-04-18;12392.10016667
SE;Sudeste/Centro-Oeste;2024-04-18;45666.79429167
N;Norte;2024-04-19;7589.37600000
NE;Nordeste;2024-04-19;13262.08000000
S;Sul;2024-04-19;12529.26962500
SE;Sudeste/Centro-Oeste;2024-04-19;44103.62954167
N;Norte;2024-04-20;7157.09854167
NE;Nordeste;2024-04-20;12353.52412500
S;Sul;2024-04-20;10914.51550000
SE;Sudeste/Centro-Oeste;2024-04-20;41003.35237500
N;Norte;2024-04-21;6828.01995833
NE;Nordeste;2024-04-21;11244.16591667
S;Sul;2024-04-21;9745.52154167
SE;Sudeste/Centro-Oeste;2024-04-21;37605.53691667
N;Norte;2024-04-22;7444.56075000
NE;Nordeste;2024-04-22;12824.25591667
S;Sul;2024-04-22;13245.70316667
SE;Sudeste/Centro-Oeste;2024-04-22;44442.56195833
N;Norte;2024-04-23;7636.30750000
NE;Nordeste;2024-04-23;13143.25258333
S;Sul;2024-04-23;14037.66029167
SE;Sudeste/Centro-Oeste;2024-04-23;46084.46304167
N;Norte;2024-04-24;7541.04841667
NE;Nordeste;2024-04-24;13136.10808333
S;Sul;2024-04-24;13943.70245833
SE;Sudeste/Centro-Oeste;2024-04-24;47642.30433333
N;Norte;2024-04-25;7491.66050000
NE;Nordeste;2024-04-25;13425.27625000
S;Sul;2024-04-25;13476.41200000
SE;Sudeste/Centro-Oeste;2024-04-25;47760.75562500
N;Norte;2024-04-26;7483.00341667
NE;Nordeste;2024-04-26;13387.48225000
S;Sul;2024-04-26;13629.22816667
SE;Sudeste/Centro-Oeste;2024-04-26;47474.15166667
N;Norte;2024-04-27;7357.75179167
NE;Nordeste;2024-04-27;12530.37012500
S;Sul;2024-04-27;12897.05587500
SE;Sudeste/Centro-Oeste;2024-04-27;44594.26183333
N;Norte;2024-04-28;7088.26954167
NE;Nordeste;2024-04-28;11902.18708333
S;Sul;2024-04-28;11225.60362500
SE;Sudeste/Centro-Oeste;2024-04-28;41778.45337500
N;Norte;2024-04-29;7794.03579167
NE;Nordeste;2024-04-29;13094.10129167
S;Sul;2024-04-29;13775.98662500
SE;Sudeste/Centro-Oeste;2024-04-29;48446.94170833
N;Norte;2024-04-30;7717.67479167
NE;Nordeste;2024-04-30;13099.04425000
S;Sul;2024-04-30;14363.17166667
SE;Sudeste/Centro-Oeste;2024-04-30;49093.46525000
N;Norte;2024-05-01;7229.93400000
NE;Nordeste;2024-05-01;11934.04720833
S;Sul;2024-05-01;12353.76258333
SE;Sudeste/Centro-Oeste;2024-05-01;44426.06779167
N;Norte;2024-05-02;7742.31508333
NE;Nordeste;2024-05-02;13237.19687500
S;Sul;2024-05-02;14109.80383333
SE;Sudeste/Centro-Oeste;2024-05-02;49160.49554167
N;Norte;2024-05-03;7829.33470833
NE;Nordeste;2024-05-03;9444.97529167
S;Sul;2024-05-03;12880.79658333
SE;Sudeste/Centro-Oeste;2024-05-03;48921.89670833
N;Norte;2024-05-04;7443.17962500
NE;Nordeste;2024-05-04;8629.32120833
S;Sul;2024-05-04;11231.18304167
SE;Sudeste/Centro-Oeste;2024-05-04;44452.24958333
N;Norte;2024-05-05;7202.78979167
NE;Nordeste;2024-05-05;8171.85158333
S;Sul;2024-05-05;10196.39554167
SE;Sudeste/Centro-Oeste;2024-05-05;41051.19187500
N;Norte;2024-05-06;7768.61583333
NE;Nordeste;2024-05-06;9498.29570833
S;Sul;2024-05-06;13239.52379167
SE;Sudeste/Centro-Oeste;2024-05-06;47136.57516667
N;Norte;2024-05-07;7727.63883333
NE;Nordeste;2024-05-07;9385.78683333
S;Sul;2024-05-07;13906.75266667
SE;Sudeste/Centro-Oeste;2024-05-07;48448.79579167
N;Norte;2024-05-08;7864.69333333
NE;Nordeste;2024-05-08;9407.94554167
S;Sul;2024-05-08;14189.12716667
SE;Sudeste/Centro-Oeste;2024-05-08;48650.27766667
N;Norte;2024-05-09;8001.57479167
NE;Nordeste;2024-05-09;13259.82375000
S;Sul;2024-05-09;13521.24795833
SE;Sudeste/Centro-Oeste;2024-05-09;48991.19337500
N;Norte;2024-05-10;
NE;Nordeste;2024-05-10;
S;Sul;2024-05-10;
SE;Sudeste/Centro-Oeste;2024-05-10;
N;Norte;2024-05-11;
NE;Nordeste;2024-05-11;
S;Sul;2024-05-11;
SE;Sudeste/Centro-Oeste;2024-05-11;
